DEBUG , 29 , 2023-08-17 09:58:42,670 , rest
DEBUG , 32 , 2023-08-17 09:58:42,808 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:58:42,810 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:58:42,810 , /rest.bit
DEBUG , 29 , 2023-08-17 09:58:42,810 , rest
DEBUG , 25 , 2023-08-17 09:58:52,406 , Log4J Logging started: /Users/chaeminlee/Documents/LotteBitWorkspace/bit2023/day05/target/day05-1.0-SNAPSHOT/WEB-INF/log4j.properties
DEBUG , 32 , 2023-08-17 09:58:52,975 , doFilter----/
DEBUG , 35 , 2023-08-17 09:58:52,975 , doFilter----/
DEBUG , 32 , 2023-08-17 09:58:52,979 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:58:52,979 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:58:52,979 , /main.bit
DEBUG , 29 , 2023-08-17 09:58:52,979 , main
DEBUG , 32 , 2023-08-17 09:58:53,659 , doFilter----/
DEBUG , 35 , 2023-08-17 09:58:53,659 , doFilter----/
DEBUG , 32 , 2023-08-17 09:58:53,660 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:58:53,660 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:58:53,660 , /main.bit
DEBUG , 29 , 2023-08-17 09:58:53,660 , main
DEBUG , 32 , 2023-08-17 09:58:53,701 , doFilter----/
DEBUG , 35 , 2023-08-17 09:58:53,702 , doFilter----/
DEBUG , 32 , 2023-08-17 09:58:53,704 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:58:53,704 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:58:53,705 , /main.bit
DEBUG , 29 , 2023-08-17 09:58:53,705 , main
DEBUG , 32 , 2023-08-17 09:58:58,474 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:58:58,477 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:58:58,477 , /main.bit
DEBUG , 29 , 2023-08-17 09:58:58,478 , main
DEBUG , 32 , 2023-08-17 09:58:59,886 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:58:59,886 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:58:59,886 , /rest.bit
DEBUG , 29 , 2023-08-17 09:58:59,886 , rest
DEBUG , 32 , 2023-08-17 09:59:09,162 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:59:09,162 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:59:09,162 , /rest.bit
DEBUG , 29 , 2023-08-17 09:59:09,162 , rest
DEBUG , 32 , 2023-08-17 09:59:10,232 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:59:10,232 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:59:10,232 , /rest.bit
DEBUG , 29 , 2023-08-17 09:59:10,232 , rest
DEBUG , 32 , 2023-08-17 10:00:07,086 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 10:00:07,087 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 10:00:07,087 , /main.bit
DEBUG , 29 , 2023-08-17 10:00:07,087 , main
DEBUG , 32 , 2023-08-17 10:00:47,696 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 10:00:47,696 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 10:00:47,697 , /main.bit
DEBUG , 29 , 2023-08-17 10:00:47,697 , main
DEBUG , 32 , 2023-08-17 10:01:00,801 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:01:00,802 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:01:00,802 , /rest.bit
DEBUG , 29 , 2023-08-17 10:01:00,802 , rest
DEBUG , 32 , 2023-08-17 10:01:15,849 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:01:15,849 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:01:15,849 , /rest.bit
DEBUG , 29 , 2023-08-17 10:01:15,849 , rest
DEBUG , 32 , 2023-08-17 10:01:20,130 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:01:20,130 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:01:20,130 , /rest.bit
DEBUG , 29 , 2023-08-17 10:01:20,131 , rest
DEBUG , 32 , 2023-08-17 10:04:11,283 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:04:11,283 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:04:11,284 , /rest.bit
DEBUG , 29 , 2023-08-17 10:04:11,284 , rest
DEBUG , 32 , 2023-08-17 10:04:19,126 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:04:19,126 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:04:19,126 , /rest.bit
DEBUG , 29 , 2023-08-17 10:04:19,126 , rest
DEBUG , 32 , 2023-08-17 10:04:38,990 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:04:38,990 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:04:38,990 , /rest.bit
DEBUG , 29 , 2023-08-17 10:04:38,991 , rest
DEBUG , 32 , 2023-08-17 10:04:52,891 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:04:52,891 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:04:52,891 , /rest.bit
DEBUG , 29 , 2023-08-17 10:04:52,891 , rest
DEBUG , 32 , 2023-08-17 10:05:06,307 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:05:06,308 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:05:06,308 , /rest.bit
DEBUG , 29 , 2023-08-17 10:05:06,308 , rest
DEBUG , 32 , 2023-08-17 10:07:20,184 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:07:20,184 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:07:20,184 , /rest.bit
DEBUG , 29 , 2023-08-17 10:07:20,184 , rest
DEBUG , 32 , 2023-08-17 10:07:39,967 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 10:07:39,968 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 10:07:39,968 , /main.bit
DEBUG , 29 , 2023-08-17 10:07:39,968 , main
DEBUG , 32 , 2023-08-17 10:09:16,266 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 10:09:16,266 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 10:09:16,267 , /main.bit
DEBUG , 29 , 2023-08-17 10:09:16,268 , main
DEBUG , 32 , 2023-08-17 10:09:22,052 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:09:22,053 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:09:22,053 , /rest.bit
DEBUG , 29 , 2023-08-17 10:09:22,054 , rest
DEBUG , 32 , 2023-08-17 10:09:43,732 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 10:09:43,733 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 10:09:43,733 , /main.bit
DEBUG , 29 , 2023-08-17 10:09:43,733 , main
DEBUG , 32 , 2023-08-17 10:09:45,316 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 10:09:45,317 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 10:09:45,317 , /rest.bit
DEBUG , 29 , 2023-08-17 10:09:45,317 , rest
DEBUG , 32 , 2023-08-17 10:09:51,078 , doFilter----/main.bit
