DEBUG , 30 , 2023-08-11 09:03:14,702 , main
DEBUG , 25 , 2023-08-11 09:11:43,709 , Log4J Logging started: /Users/chaeminlee/Documents/LotteBitWorkspace/bit2023/mybatis1/target/mybatis1-1.0-SNAPSHOT/WEB-INF/log4j.properties
DEBUG , 39 , 2023-08-11 09:11:43,777 , doFilter----/
DEBUG , 42 , 2023-08-11 09:11:43,778 , doFilter----/
DEBUG , 39 , 2023-08-11 09:11:43,781 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:11:43,782 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:11:43,782 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:11:43,782 , /main.bit
DEBUG , 31 , 2023-08-11 09:11:43,782 , main
DEBUG , 39 , 2023-08-11 09:11:43,855 , doFilter----/
DEBUG , 42 , 2023-08-11 09:11:43,856 , doFilter----/
DEBUG , 39 , 2023-08-11 09:11:43,856 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:11:43,856 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:11:43,857 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:11:43,857 , /main.bit
DEBUG , 31 , 2023-08-11 09:11:43,857 , main
DEBUG , 39 , 2023-08-11 09:11:43,889 , doFilter----/
DEBUG , 42 , 2023-08-11 09:11:43,890 , doFilter----/
DEBUG , 39 , 2023-08-11 09:11:43,893 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:11:43,893 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:11:43,893 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:11:43,894 , /main.bit
DEBUG , 31 , 2023-08-11 09:11:43,894 , main
DEBUG , 39 , 2023-08-11 09:11:43,995 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:11:43,995 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:11:43,995 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:11:43,998 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:11:44,001 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:11:44,001 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:11:44,001 , /main.bit
DEBUG , 31 , 2023-08-11 09:11:44,001 , main
DEBUG , 39 , 2023-08-11 09:11:57,272 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:11:57,273 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:11:57,273 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:11:57,273 , /main.bit
DEBUG , 31 , 2023-08-11 09:11:57,273 , main
DEBUG , 39 , 2023-08-11 09:11:57,327 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:11:57,328 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:11:57,328 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:11:57,335 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:11:57,336 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:11:57,336 , doFilter3----.bit
